Hesap Kodu;Açýklama
      740.01.01.00001;BRÜT ÜCRET GÝD.
      740.01.01.00002;SGK ÝÞVEREN PAYI PRÝMÝ GÝD.
      740.01.01.00003;ÝÞSÝZLÝK ÝÞVEREN PAYI GÝD.
      740.01.01.00004;KIDEM TAZMÝNATI GÝD.
      740.01.01.00005;ÝHBAR TAZMÝNATI GÝD.
      740.01.01.00006;YILLIK ÝZÝN GÝD.
      740.01.01.00007;YEMEK KART GÝD.
      740.01.01.00008;MÝGROS KART
      740.01.01.00009;PERS. OPET ARAÇ YAKIT GÝD.
      740.01.01.00010;HARCIRAH GÝD.
      740.01.01.00011;PERSONEL ÝLAÇ SAÐLIK  GÝD.
      740.01.01.00012;GEÇMÝÞ DÖNEM SGK PRÝM
      740.01.01.00013;GEÇMÝÞ DÖNEM ÝÞSÝZLÝK PRÝM
      740.01.01.00014;GEÇMÝÞ DÖNEM ÜCRET-KIDEM-ÝHBAR-ÝZÝN-DÝÐER MAAÞ GÝDERLERÝ
      740.01.01.00015;TELÝF HAKKI ÖDEMELERÝ
      740.01.01.99998;DÝÐER PERS. GÝD. (MF-FATURA)
      740.01.01.99999;DÝÐER PERS. GÝD. (MF)
      740.01.02.00001;TAÞIMA SERVÝS GÝD.
      740.01.02.00002;APRON KARTI GÝD.
      740.01.02.00003;PER. YEMEK GÝD.
      740.01.02.00004;MUTFAK ET GÝD.
      740.01.02.00005;KIYAFET ÜNÝFORMA GÝD. (POLAR/PANTOLON/HEMÞÝRE KIY.)
      740.01.02.00015;KKD (BARET/KEMER/YELEK/AYAKKABI) ALIMLARI
      740.01.02.00016;OSGB PERSONELÝ DESTEK PAKETÝ
      740.01.02.00017;PER.ABONMAN YOL MASRAFI
      740.01.02.00018;PER.YILBAÞI HEDÝYE NÝTELÝKLÝ GÝD.
      740.01.03.00001;OFÝS KÝRA GÝD.
      740.01.03.00002;LOJMAN KÝRA GÝD.
      740.01.04.00001;AÝDAT GÝD.
      740.01.04.00002;ELEKTRÝK GÝD.
      740.01.04.00003;DOÐALGAZ VE ISINMA GÝD.
      740.01.04.00004;SU GÝD.
      740.01.04.00005;KARGO KURYE POSTA GÝD.
      740.01.04.00006;MUTFAK VE TEMÝZLÝK GÝD.
      740.01.04.00007;KIRTASÝYE GÝD.
      740.01.04.00008;BASILI EVRAK GÝD.
      740.01.04.00009;NAKLÝYE HAMMALÝYE GÝD.
      740.01.04.00010;TEMSÝL VE AÐIRLAMA GÝD.
      740.01.04.00011;KÜÇÜK DEMÝRBAÞ GÝD.
      740.01.04.00012;PRINTER BASKI GÝD.
      740.01.04.00013;ÞÝRKET TOPLANTI VE YEMEKLERÝ GÝD.
      740.01.05.00001;TELEFON GÝD.
      740.01.05.00002;CEP TELEFONU GÝD.
      740.01.05.00003;TELSÝZ ÝLETÝÞÝM GÝD.
      740.01.05.00004;ÝNTERNET/ADSL/FÝBER GÝD.
      740.01.05.00005;UZAKTAN SANAL TOPLANTI LÝSANS GÝD.-ZOOM
      740.01.05.00006;SANTRAL GÝD.
      740.01.05.00007;MÜÞTERÝ TEDARÝKÇÝ SÝSTEM KULLANIM BEDELÝ
      740.01.05.00008;FACEBOOK
      740.01.05.00009;UZAKTAN SANAL TOPLANTI LÝSANS GÝD.-MAILGRAF
      740.01.05.00010;GOOGLE
      740.01.05.00011;UZAKTAN SANAL TOPLANTI LÝSANS GÝD.-LINKEDIN
      740.01.06.00001;ULAÞIM GÝD.-YURT ÝÇÝ ULAÞIM
      740.01.06.00002;ULAÞIM GÝD.-YURT DIÞI ULAÞIM
      740.01.06.00003;KONAKLAMA GÝD.-YURT ÝÇÝ OTEL
      740.01.06.00004;KONAKLAMA GÝD.-YURT DIÞI OTEL
      740.01.06.00005;UÇAK GÝD.-YURT ÝÇÝ UÇUÞLAR
      740.01.06.00006;UÇAK GÝD.-YURT DIÞI UÇUÞLAR
      740.01.06.00007;VÝZE VE SEYAHAT HÝZMET GÝD.
      740.01.06.00008;YURTDIÞI DÝÐER SEYAHAT GÝD.(YEMEK DÝÐER)
      740.01.07.00001;ARAÇ KÝRALAMA GÝD.-UZUN DÖNEM
