Company,Item,Amount,VatRate
TEZ MEDIKAL,Market Alışverişi,300.00,20
TEZ MEDİKAL,Yemek Fişi,120.00,10
BİZ KLİNİK,Temizlik Malzemesi,50.00,10
BİZ KLİNİK,Kırtasiye,30.00,20
TEZ HOLDİNG,Elektronik Parça,500.00,20
TEZ MEDIKAL,Market Alışverişi,300.00,20
TEZ MEDİKAL,Yemek Fişi,120.00,10
BİZ KLİNİK,Temizlik Malzemesi,50.00,10
BİZ KLİNİK,Kırtasiye,30.00,20
TEZ HOLDİNG,Elektronik Parça,500.00,20
TEZ MEDIKAL,Market Alışverişi,300.00,20
TEZ MEDİKAL,Yemek Fişi,120.00,10
BİZ KLİNİK,Temizlik Malzemesi,50.00,10
BİZ KLİNİK,Kırtasiye,30.00,20
TEZ HOLDİNG,Elektronik Parça,500.00,20
TEZ MEDIKAL,Market Alışverişi,300.00,20
TEZ MEDİKAL,Yemek Fişi,120.00,10
BİZ KLİNİK,Temizlik Malzemesi,50.00,10
BİZ KLİNİK,Kırtasiye,30.00,20
TEZ HOLDİNG,Elektronik Parça,500.00,20
TEZ MEDIKAL,Market Alışverişi,300.00,20
TEZ MEDİKAL,Yemek Fişi,120.00,10
BİZ KLİNİK,Temizlik Malzemesi,50.00,10
BİZ KLİNİK,Kırtasiye,30.00,20
TEZ HOLDİNG,Elektronik Parça,500.00,20
